bit_index,row,col,ones_count,frequency
1,0,0,3,0.375000
2,0,1,4,0.500000
3,0,2,5,0.625000
4,0,3,5,0.625000
5,0,4,6,0.750000
6,0,5,5,0.625000
7,0,6,4,0.500000
8,0,7,4,0.500000
9,0,8,2,0.250000
10,0,9,1,0.125000
11,1,0,3,0.375000
12,1,1,4,0.500000
13,1,2,5,0.625000
14,1,3,6,0.750000
15,1,4,7,0.875000
16,1,5,6,0.750000
17,1,6,5,0.625000
18,1,7,4,0.500000
19,1,8,3,0.375000
20,1,9,1,0.125000
21,2,0,2,0.250000
22,2,1,3,0.375000
23,2,2,3,0.375000
24,2,3,3,0.375000
25,2,4,4,0.500000
26,2,5,3,0.375000
27,2,6,3,0.375000
28,2,7,4,0.500000
29,2,8,3,0.375000
30,2,9,1,0.125000
31,3,0,2,0.250000
32,3,1,4,0.500000
33,3,2,3,0.375000
34,3,3,3,0.375000
35,3,4,3,0.375000
36,3,5,2,0.250000
37,3,6,3,0.375000
38,3,7,4,0.500000
39,3,8,4,0.500000
40,3,9,1,0.125000
41,4,0,2,0.250000
42,4,1,4,0.500000
43,4,2,3,0.375000
44,4,3,3,0.375000
45,4,4,3,0.375000
46,4,5,2,0.250000
47,4,6,3,0.375000
48,4,7,4,0.500000
49,4,8,4,0.500000
50,4,9,1,0.125000
51,5,0,2,0.250000
52,5,1,4,0.500000
53,5,2,4,0.500000
54,5,3,5,0.625000
55,5,4,6,0.750000
56,5,5,6,0.750000
57,5,6,6,0.750000
58,5,7,5,0.625000
59,5,8,3,0.375000
60,5,9,1,0.125000
61,6,0,2,0.250000
62,6,1,4,0.500000
63,6,2,4,0.500000
64,6,3,5,0.625000
65,6,4,6,0.750000
66,6,5,6,0.750000
67,6,6,6,0.750000
68,6,7,5,0.625000
69,6,8,3,0.375000
70,6,9,1,0.125000
71,7,0,2,0.250000
72,7,1,3,0.375000
73,7,2,1,0.125000
74,7,3,2,0.250000
75,7,4,2,0.250000
76,7,5,2,0.250000
77,7,6,2,0.250000
78,7,7,3,0.375000
79,7,8,4,0.500000
80,7,9,1,0.125000
81,8,0,2,0.250000
82,8,1,3,0.375000
83,8,2,1,0.125000
84,8,3,2,0.250000
85,8,4,2,0.250000
86,8,5,2,0.250000
87,8,6,2,0.250000
88,8,7,3,0.375000
89,8,8,4,0.500000
90,8,9,1,0.125000
91,9,0,2,0.250000
92,9,1,2,0.250000
93,9,2,1,0.125000
94,9,3,2,0.250000
95,9,4,3,0.375000
96,9,5,3,0.375000
97,9,6,2,0.250000
98,9,7,3,0.375000
99,9,8,3,0.375000
100,9,9,1,0.125000
101,10,0,2,0.250000
102,10,1,2,0.250000
103,10,2,3,0.375000
104,10,3,5,0.625000
105,10,4,6,0.750000
106,10,5,6,0.750000
107,10,6,5,0.625000
108,10,7,4,0.500000
109,10,8,3,0.375000
110,10,9,1,0.125000
111,11,0,2,0.250000
112,11,1,2,0.250000
113,11,2,3,0.375000
114,11,3,4,0.500000
115,11,4,5,0.625000
116,11,5,5,0.625000
117,11,6,4,0.500000
118,11,7,4,0.500000
119,11,8,2,0.250000
120,11,9,1,0.125000
