bit_index,row,col,ones_count,frequency
1,0,0,7,0.875000
2,0,1,7,0.875000
3,0,2,6,0.750000
4,0,3,6,0.750000
5,0,4,5,0.625000
6,0,5,4,0.500000
7,0,6,2,0.250000
8,0,7,2,0.250000
9,0,8,0,0.000000
10,0,9,0,0.000000
11,1,0,7,0.875000
12,1,1,7,0.875000
13,1,2,7,0.875000
14,1,3,7,0.875000
15,1,4,6,0.750000
16,1,5,5,0.625000
17,1,6,3,0.375000
18,1,7,2,0.250000
19,1,8,0,0.000000
20,1,9,0,0.000000
21,2,0,5,0.625000
22,2,1,6,0.750000
23,2,2,3,0.375000
24,2,3,3,0.375000
25,2,4,3,0.375000
26,2,5,3,0.375000
27,2,6,4,0.500000
28,2,7,2,0.250000
29,2,8,0,0.000000
30,2,9,0,0.000000
31,3,0,6,0.750000
32,3,1,6,0.750000
33,3,2,3,0.375000
34,3,3,2,0.250000
35,3,4,2,0.250000
36,3,5,3,0.375000
37,3,6,4,0.500000
38,3,7,3,0.375000
39,3,8,0,0.000000
40,3,9,0,0.000000
41,4,0,6,0.750000
42,4,1,6,0.750000
43,4,2,3,0.375000
44,4,3,2,0.250000
45,4,4,2,0.250000
46,4,5,3,0.375000
47,4,6,4,0.500000
48,4,7,3,0.375000
49,4,8,0,0.000000
50,4,9,0,0.000000
51,5,0,6,0.750000
52,5,1,6,0.750000
53,5,2,7,0.875000
54,5,3,6,0.750000
55,5,4,5,0.625000
56,5,5,6,0.750000
57,5,6,3,0.375000
58,5,7,3,0.375000
59,5,8,0,0.000000
60,5,9,0,0.000000
61,6,0,6,0.750000
62,6,1,6,0.750000
63,6,2,7,0.875000
64,6,3,6,0.750000
65,6,4,5,0.625000
66,6,5,6,0.750000
67,6,6,3,0.375000
68,6,7,3,0.375000
69,6,8,0,0.000000
70,6,9,0,0.000000
71,7,0,4,0.500000
72,7,1,4,0.500000
73,7,2,2,0.250000
74,7,3,1,0.125000
75,7,4,2,0.250000
76,7,5,4,0.500000
77,7,6,3,0.375000
78,7,7,2,0.250000
79,7,8,0,0.000000
80,7,9,0,0.000000
81,8,0,4,0.500000
82,8,1,4,0.500000
83,8,2,2,0.250000
84,8,3,1,0.125000
85,8,4,2,0.250000
86,8,5,4,0.500000
87,8,6,3,0.375000
88,8,7,2,0.250000
89,8,8,0,0.000000
90,8,9,0,0.000000
91,9,0,3,0.375000
92,9,1,4,0.500000
93,9,2,2,0.250000
94,9,3,2,0.250000
95,9,4,3,0.375000
96,9,5,4,0.500000
97,9,6,3,0.375000
98,9,7,1,0.125000
99,9,8,0,0.000000
100,9,9,0,0.000000
101,10,0,5,0.625000
102,10,1,5,0.625000
103,10,2,6,0.750000
104,10,3,6,0.750000
105,10,4,5,0.625000
106,10,5,5,0.625000
107,10,6,3,0.375000
108,10,7,2,0.250000
109,10,8,0,0.000000
110,10,9,0,0.000000
111,11,0,5,0.625000
112,11,1,5,0.625000
113,11,2,5,0.625000
114,11,3,5,0.625000
115,11,4,4,0.500000
116,11,5,4,0.500000
117,11,6,2,0.250000
118,11,7,2,0.250000
119,11,8,0,0.000000
120,11,9,0,0.000000
