bit_index,row,col,ones_count,frequency
1,0,0,4,0.571429
2,0,1,4,0.571429
3,0,2,5,0.714286
4,0,3,7,1.000000
5,0,4,7,1.000000
6,0,5,7,1.000000
7,0,6,6,0.857143
8,0,7,4,0.571429
9,0,8,1,0.142857
10,0,9,0,0.000000
11,1,0,4,0.571429
12,1,1,5,0.714286
13,1,2,6,0.857143
14,1,3,4,0.571429
15,1,4,4,0.571429
16,1,5,4,0.571429
17,1,6,6,0.857143
18,1,7,6,0.857143
19,1,8,2,0.285714
20,1,9,0,0.000000
21,2,0,5,0.714286
22,2,1,5,0.714286
23,2,2,5,0.714286
24,2,3,2,0.285714
25,2,4,1,0.142857
26,2,5,1,0.142857
27,2,6,5,0.714286
28,2,7,4,0.571429
29,2,8,2,0.285714
30,2,9,1,0.142857
31,3,0,5,0.714286
32,3,1,5,0.714286
33,3,2,5,0.714286
34,3,3,2,0.285714
35,3,4,1,0.142857
36,3,5,1,0.142857
37,3,6,5,0.714286
38,3,7,4,0.571429
39,3,8,2,0.285714
40,3,9,1,0.142857
41,4,0,5,0.714286
42,4,1,6,0.857143
43,4,2,6,0.857143
44,4,3,3,0.428571
45,4,4,1,0.142857
46,4,5,2,0.285714
47,4,6,5,0.714286
48,4,7,4,0.571429
49,4,8,2,0.285714
50,4,9,1,0.142857
51,5,0,5,0.714286
52,5,1,6,0.857143
53,5,2,6,0.857143
54,5,3,5,0.714286
55,5,4,3,0.428571
56,5,5,3,0.428571
57,5,6,5,0.714286
58,5,7,3,0.428571
59,5,8,2,0.285714
60,5,9,1,0.142857
61,6,0,5,0.714286
62,6,1,6,0.857143
63,6,2,6,0.857143
64,6,3,4,0.571429
65,6,4,2,0.285714
66,6,5,2,0.285714
67,6,6,5,0.714286
68,6,7,3,0.428571
69,6,8,2,0.285714
70,6,9,1,0.142857
71,7,0,5,0.714286
72,7,1,6,0.857143
73,7,2,6,0.857143
74,7,3,2,0.285714
75,7,4,1,0.142857
76,7,5,2,0.285714
77,7,6,4,0.571429
78,7,7,4,0.571429
79,7,8,1,0.142857
80,7,9,1,0.142857
81,8,0,4,0.571429
82,8,1,6,0.857143
83,8,2,7,1.000000
84,8,3,2,0.285714
85,8,4,1,0.142857
86,8,5,2,0.285714
87,8,6,4,0.571429
88,8,7,5,0.714286
89,8,8,4,0.571429
90,8,9,0,0.000000
91,9,0,4,0.571429
92,9,1,5,0.714286
93,9,2,7,1.000000
94,9,3,3,0.428571
95,9,4,3,0.428571
96,9,5,3,0.428571
97,9,6,5,0.714286
98,9,7,6,0.857143
99,9,8,3,0.428571
100,9,9,0,0.000000
101,10,0,4,0.571429
102,10,1,5,0.714286
103,10,2,6,0.857143
104,10,3,4,0.571429
105,10,4,4,0.571429
106,10,5,4,0.571429
107,10,6,5,0.714286
108,10,7,5,0.714286
109,10,8,3,0.428571
110,10,9,0,0.000000
111,11,0,4,0.571429
112,11,1,5,0.714286
113,11,2,5,0.714286
114,11,3,2,0.285714
115,11,4,2,0.285714
116,11,5,3,0.428571
117,11,6,1,0.142857
118,11,7,2,0.285714
119,11,8,2,0.285714
120,11,9,2,0.285714
